4 100.0 100.0 100.0 100.0 100.0
5 100.0 100.0 100.0 100.0 100.0
6 100.0 100.0 100.0 100.0 100.0
7 100.0 100.0 100.0 100.0 100.0
8 100.0 100.0 100.0 100.0 100.0
9 100.0 100.0 100.0 100.0 100.0
10 100.0 100.0 100.0 100.0 100.0
11 100.0 100.0 100.0 100.0 100.0
12 100.0 100.0 100.0 100.0 100.0
13 100.0 100.0 100.0 100.0 100.0
14 100.0 100.0 100.0 100.0 100.0
15 100.0 100.0 100.0 100.0 100.0
16 100.0 100.0 100.0 100.0 100.0
17 100.0 100.0 100.0 100.0 100.0
18 100.0 100.0 100.0 100.0 100.0
19 100.0 100.0 100.0 100.0 100.0
20 100.0 100.0 100.0 100.0 100.0
21 100.0 100.0 100.0 100.0 100.0
22 100.0 100.0 100.0 100.0 100.0
23 100.0 100.0 100.0 100.0 100.0
24 100.0 100.0 100.0 100.0 100.0
25 100.0 100.0 100.0 100.0 100.0
26 100.0 100.0 100.0 100.0 100.0
27 100.0 100.0 100.0 100.0 100.0
28 100.0 100.0 100.0 100.0 100.0
29 100.0 100.0 100.0 100.0 100.0
30 100.0 100.0 100.0 100.0 100.0
